id	chapter	tier	title	author	url	fetch_note
S062	03,09	deeper	Deep Dive: 12 Reusable Agentic Harness Design Patterns from Claude Code	Epsilla	https://www.epsilla.com/blogs/2026-04-18-deep-dive-12-reusable-agentic-harness-design-patte	unchecked
S063	09	core	Model Context Protocol (MCP) Security (whitepaper)	CoSAI	https://www.coalitionforsecureai.org/wp-content/uploads/2026/03/model-context-protocol-security-1.pdf	ok
S064	01	deeper	Harness Engineering — first thoughts	Fowler / Boeckeler	https://martinfowler.com/articles/exploring-gen-ai/harness-engineering-memo.html	ok
S065	01,04	deeper	Context Engineering for Coding Agents	Fowler / Boeckeler	https://martinfowler.com/articles/exploring-gen-ai/context-engineering-coding-agents.html	ok
S066	01	deeper	Humans and Agents in Software Engineering Loops	Fowler / Boeckeler	https://martinfowler.com/articles/exploring-gen-ai/humans-and-agents.html	ok
S067	08	deeper	TDD inside the agent loop — theater or actual value?	Fowler / Boeckeler	https://martinfowler.com/articles/exploring-gen-ai/tdd-in-the-agent-loop.html	ok
S068	09	deeper	Coding Assistants Threaten the Software Supply Chain	Fowler / Boeckeler	https://martinfowler.com/articles/exploring-gen-ai/software-supply-chain-attack-surface.html	ok
S069	01	core	InfoQ: OpenAI Introduces Harness Engineering	InfoQ	https://www.infoq.com/news/2026/02/openai-harness-engineering-codex/	ok
S070	01	deeper	Unlocking the Codex harness: how we built the App Server	OpenAI	https://openai.com/index/unlocking-the-codex-harness/	bot-blocked-403
S071	01,10	deeper	Awesome Agentic Patterns	nibzard	https://www.agentic-patterns.com/	ok
S072	03,06	core	Building LangGraph: designing an agent runtime from first principles	LangChain	https://www.langchain.com/blog/building-langgraph	ok
S073	07	core	Don't Break the Cache: Prompt Caching for Long-Horizon Agentic Tasks	arXiv	https://arxiv.org/abs/2601.06007	ok
S074	07	core	Prompt Caching with Deep Agents	LangChain	https://www.langchain.com/blog/deep-agents-prompt-caching	ok
S075	07	core	Agent-as-a-Router: Agentic Model Routing for Coding Tasks	arXiv	https://arxiv.org/abs/2606.22902	ok
S076	07	core	AI Agent Cost Optimization: cutting LLM spend with routing	Requesty	https://www.requesty.ai/blog/ai-agent-cost-optimization-how-to-cut-llm-spend-by-80-percent-with-routing	ok
S077	07	core	Prompt Caching Economics: cache-first agent design	Digital Applied	https://www.digitalapplied.com/blog/prompt-caching-economics-cache-first-agent-architecture-2026	ok
S078	07	deeper	AI Agent Token Cost Optimization	Fastio	https://fast.io/resources/ai-agent-token-cost-optimization/	ok
S079	07	deeper	How LLM agent loops break caching	Tensormesh	https://www.tensormesh.ai/blog-posts/agentic-ai-inference-cost-kv-caching-production	unchecked
S080	07	deeper	Self-Compacting Language Model Agents	arXiv	https://arxiv.org/abs/2606.23525	unchecked
S081	10	core	Harness design for long-running application development	Anthropic	https://www.anthropic.com/engineering/harness-design-long-running-apps	ok
S082	10	core	Long-running Agents	Addy Osmani	https://addyosmani.com/blog/long-running-agents/	ok
S083	10	core	Agent Handoff Patterns: human–agent interface guide	Augment Code	https://www.augmentcode.com/guides/agent-handoff-patterns-human-agent-interface	ok
S084	10	core	Interaction as Intelligence II: Asynchronous Human-Agent Rollout	arXiv	https://arxiv.org/abs/2510.27630	ok
S085	10	deeper	Long-running AI agents that pause, resume, never lose context (ADK)	Google	https://developers.googleblog.com/build-long-running-ai-agents-that-pause-resume-and-never-lose-context-with-adk/	ok
S086	10	deeper	Long Running Agent Engineering	Nicolas Bustamante	https://nicolasbustamante.com/blog/long-running-agent-engineering	ok
S087	10	deeper	The Shift to Agentic AI: Evidence from Codex	arXiv	https://arxiv.org/abs/2606.26959	unchecked
S088	09	core	The lethal trifecta for AI agents	Simon Willison	https://simonwillison.net/2025/Jun/16/the-lethal-trifecta/	ok
